,x,y
419,-104.14557698403098,20.732683435183667
420,-104.15095235130039,20.72713883776164
422,-104.15257834599473,20.73262976291651
423,-104.07609661670921,20.73590757718
424,-103.90931541887508,20.723683942081756
425,-102.66558990235545,20.674266646282256
426,-102.66695356617748,20.674074711651283
427,-103.13505082809928,20.61444067333833
428,-104.2708895538653,20.73294036957898
429,-104.2569098520467,20.733153621239758
430,-104.27886073381667,20.73281506196653
431,-104.27151461499565,20.732935921750876
432,-102.57821991172277,20.701462276472654
433,-102.55244259079056,20.694126940063235
435,-102.56140011742315,20.67185821064702
436,-104.46356040250299,20.728600121058935
437,-104.46488196786679,20.728658702209547
438,-104.46537458196589,20.72869752126213
439,-104.46437240564302,20.728716189483738
440,-104.46487011505366,20.728726115734258
441,-104.43574223841641,20.722053126019425
442,-104.46570074404292,20.7287362408714
443,-104.46552411693223,20.728793927032214
444,-104.43501377974438,20.722409078831813
445,-104.43537351184656,20.724152690729984
446,-104.4353995787148,20.724952160710448
447,-104.4653508763396,20.728832348311553
448,-104.46617642555181,20.728871366250758
449,-104.46534410330352,20.728870878074503
450,-104.4348547842758,20.723314401696932
451,-104.43539788545577,20.724961797671337
452,-104.43498207385757,20.71879698135748
453,-104.43872860362164,20.72211269256285
454,-104.43745298926868,20.729374377639854
455,-104.4350555364439,20.7193268062794
456,-103.67095781653454,20.7111971619014
457,-104.43839408399093,20.729466444065444
458,-104.43918048629733,20.72214667505439
459,-104.43805269811719,20.729514393822058
460,-104.43888163384744,20.729534155920092
461,-104.4378980678393,20.72944688085404
462,-104.43870332901223,20.72960147000149
463,-104.435339258304,20.719370317248213
465,-104.43803578106147,20.729610700148836
466,-104.43660606460317,20.718793130189244
467,-104.437773092896,20.718784198371836
468,-104.32163787821172,20.720246801553078
469,-104.4385129072776,20.72215591424203
470,-104.43600031283943,20.724138614981293
471,-104.43937595674004,20.729563347052085
472,-104.43721529609186,20.729542789407567
473,-104.57198291555554,20.72624241959303
474,-104.43672774623535,20.72947507755292
475,-104.4566292564179,20.723043210746912
476,-102.6679707954177,20.67396448326094
477,-102.92626521782846,20.627927582020604
478,-102.99212976255495,20.629053443029125
479,-102.9572387467981,20.626985953306587
480,-102.89256527774943,20.591267606449808
481,-102.89389339866652,20.591297258637155
482,-102.89373629840529,20.591239337428515
